1,34
1,29
1,28
1,27
2,46
2,50
2,9
2,20
3,70
3,7
3,92
3,99
3,30
4,74
4,59
5,39
5,60
5,83
6,71
6,24
7,27
7,46
7,13
7,57
7,45
7,18
8,41
8,71
8,40
9,64
9,75
9,62
10,13
11,52
11,13
12,73
12,71
13,38
13,33
14,74
14,56
15,59
15,44
15,50
16,76
16,66
16,36
16,60
17,60
17,58
17,43
18,100
18,35
18,21
18,56
18,89
18,68
18,4
19,6
19,81
19,55
19,42
20,26
20,99
20,25
20,60
20,14
20,77
21,68
21,33
21,69
22,1
22,95
22,27
22,54
23,80
23,86
23,79
23,36
23,95
24,89
24,62
25,78
25,98
25,30
26,45
26,87
26,92
26,25
26,27
27,14
27,56
28,54
28,49
28,68
28,88
29,79
29,23
29,84
30,39
